Supplier ID,Stone Type,Shape,Carat Weight,Primary Color,Price per Carat,Stock #,Color System,Stone Image,Certificate Image,Additional Image,Dimensions,Availability,Origin,Description,Treatment Notes,Lab,Certificate ID
,OS,RAD,2.56,Orange,325.00,OD2580,,,,,7.20|6.90|5.20,,,RAD O. Sapphire Gem. 7.2-6.9,E,,od2580
,PS,CU,2.58,PNK,1275.00,PC25800,,pc25800.jpg,,,8.50|8.50|4.30,,,P. Sapphire. Cushion. Pink  8.5X8.5,,,
,OS,CU,2.77,Orange,675.00,OC2770,,,,,8.90|7.40|4.30,,,CC O.Sapphire Gem 8.90x7.40,,,oc2770
,GS,OV,2.90,GRN,425.00,GV29000,,,,,9.10|7.00|5.30,,,G. Sapphire. Oval. Green,H,,
,LV,OV,2.99,LAV,400.00,LV2980,,,,,10.00|8.00|4.00,,,OV L.Sapphire Gem 10.00x8.00,,,lv2980
,GS,CU,3.55,Green,450.00,GC3550,,,,,8.50|8.40|5.60,,,CC G.Sapphire Gem 8.50x8.40,,,
,PAD,OV,5.05,PNK,3500.00,PD505SH,,,,,11.00|8.50|5.90,,,Padparacha. Oval. Pink 11X8.5,,,
,PAD,CU,5.07,PNK,5000.00,PD507SH,,,,,11.20|8.40|5.40,,,Padparacha. Cushion. Pink 11.2X8.4,,,
,SA,CAB,6.77,BLU,125.00,SCA6770,,,,,11.70|9.50|6.20,,,CAB Sapphire Gem. 11.7-9.5,H,,sca6770
,BT,PS,19.95,BLU,1100.00,BTPS1995,,,,,10.20|4.50,,,B. Tourmaline. PS. Blue 10.2x4.5,,,
,SA,,9.88,BLU,125.00,SAL4050,,,,,,,,RD Sapphire Gem,H,,sal4050
,TZ,,90.79,,0.00,AG1000,,,,,,,,MIX  Gem,E,,ag1000
,SA,,15.91,BLU,250.00,SAL1250,,,,,,,,Sapphire Gem,H,,sal1250
,SA,,10.87,BLU,250.00,SAL7170,,,,,,,,CSHN Sapphire Gem,H,,sal7170
,SA,,4.89,BLU,285.00,SAL2400,,,,,,,,Sapphire Gem,H,,sal2400
,PA,PS,10.11,BLU,15000.00,XPBP10110,,XPBP10110.jpg,,,,,,Paraiba. PS. Blue,H,,
,PS,RD,0.82,PNK,475.00,PR17066,,,,,5.50|5.50|3.10,,,P. Sapphire. Round. Pink 5.5MM,H,,
,PS,RD,0.88,PNK,475.00,PR17055,,,,,5.60|5.60|3.30,,,P. Sapphire. Round. Pink,H,,
,,,90.90,,0.00,DIA1000,,,,,,,,,,,
,SA,RD,1.02,BLU,450.00,SR10202,,sr10202.jpg,,,6.00|6.00|3.60,,,Sapphire. Round. Blue 6.0MM,H,,
,WS,RD,1.31,White,450.00,SWR1310,,SWR1310.jpg,,,6.40|6.40|4.50,,,W.Sapphire. Round. White 6.4MM,H,,
,PA,PS,1.98,BLU,12500.00,PBP1980Z,,PBP1980Z.jpg,,,7.90|7.70|4.60,,,Paraiba. PS. Blue 7.9X7.7MM,,,
,SA,OV,2.00,BLU,1200.00,SV40466,,SV40466.jpg,,,7.60|6.10|4.90,,,Sapphire. Oval. Blue 7.6X6.1,H,,
